rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,location_freq,price_sq_ft,availability_days
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,12,townhouse,2495.0,2.0,2.5,1403.0,False,False,True,True,97.0,1.78,0
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,6,apartment,2390.0,0.0,1.0,361.0,False,False,True,True,97.0,6.62,0
565052,Airdrie,Alberta,70 Elk Hill Southeast,51.2852509,-114.0101276,12,house,1700.0,2.0,1.0,997.0,False,False,False,False,97.0,1.71,0
569191,Airdrie,Alberta,72 Silver Springs Way Northwest,51.3045767,-114.0216833,12,house,2550.0,3.0,2.5,882.0,False,False,False,True,97.0,2.89,0
571402,Airdrie,Alberta,130 Sandstone Crescent Southeast,51.276103,-114.0038583,12,house,3150.0,5.0,2.0,882.0,False,False,True,False,97.0,3.57,0
572441,Airdrie,Alberta,712 Midtown Drive Southwest,51.2807159,-114.0244446,12,house,3195.0,3.0,2.5,882.0,False,False,False,False,97.0,3.62,0
568480,Airdrie,Alberta,Cobblefield Mnr SW,51.2631292,-114.0411654,12,basement,1500.0,2.0,1.0,900.0,False,False,False,False,97.0,1.67,0
571970,Airdrie,Alberta,629 Hillcrest Road Southwest,51.2519353,-114.0137782,12,townhouse,2300.0,3.0,2.5,1600.0,False,False,True,True,97.0,1.44,0
111264,Airdrie,Alberta,100 Chinook Winds Pl SW,51.270215,-114.031145,12,apartment,2000.0,1.0,1.0,602.0,False,False,False,False,97.0,3.32,0
565874,Airdrie,Alberta,140 Sagewood Boulevard Southwest,51.291531,-114.0420409,3,townhouse,2300.0,3.0,1.5,1086.0,False,False,True,True,97.0,2.12,0
518913,Airdrie,Alberta,502 Windbury Place,51.2496714,-114.0309421,12,townhouse,2099.0,2.0,2.5,1265.0,False,False,True,True,97.0,1.66,0
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,12,apartment,1680.0,1.0,1.0,667.0,False,False,True,True,97.0,2.52,0
564482,Airdrie,Alberta,1930 Luxstone Park Southwest,51.2746543,-114.0191365,12,house,3500.0,5.0,3.5,2700.0,False,False,False,True,97.0,1.3,0
565356,Airdrie,Alberta,Windbury Pl SW,51.2496146,-114.030942,12,townhouse,2400.0,3.0,2.5,1341.0,False,False,False,False,97.0,1.79,0
566068,Airdrie,Alberta,SouthPoint Heath SW,51.251492859256,-114.012470104229,12,townhouse,2400.0,2.0,2.5,1470.0,False,False,True,False,97.0,1.63,0
132303,Airdrie,Alberta,104 Cooperstown Place,51.2615974,-114.0243117,12,basement,1250.0,1.0,1.0,882.0,True,False,False,False,97.0,1.42,0
571860,Airdrie,Alberta,85 Midtown Close Southwest,51.28487,-114.01983,12,house,2600.0,3.0,2.5,882.0,False,False,True,True,97.0,2.95,0
563675,Airdrie,Alberta,171 Baneberry Way SW,51.2920342,-114.0502138,12,house,2800.0,3.0,2.5,2100.0,False,False,False,False,97.0,1.33,0
564285,Airdrie,Alberta,212 Bayview Street,51.2770614,-114.043381,12,basement,1550.0,2.0,1.0,900.0,True,False,False,False,97.0,1.72,0
563680,Airdrie,Alberta,49 Willow Green SW,51.2910811,-114.0512376,12,house,2800.0,3.0,2.5,2100.0,False,False,False,False,97.0,1.33,0
547613,Airdrie,Alberta,491 Canals Crossing Southwest,51.281783797677,-114.026080490738,12,townhouse,2400.0,3.0,2.5,1400.0,False,False,False,False,97.0,1.71,0
571738,Airdrie,Alberta,S Point Glen SW,51.252937,-114.0104286,12,house,2750.0,4.0,3.5,882.0,False,False,False,False,97.0,3.12,0
571533,Airdrie,Alberta,260 Langwell Common SE,51.261387745429,-113.977984683331,12,house,2600.0,3.0,2.5,1608.0,False,False,False,False,97.0,1.62,0
550535,Airdrie,Alberta,20 Kingsland Close SE,51.2660887,-113.9901988,12,apartment,1737.0,2.0,1.0,792.0,False,False,True,True,97.0,2.19,0
527015,Airdrie,Alberta,1038 Bayview Rise Southwest,51.2785049,-114.0442103,12,house,2600.0,3.0,2.5,882.0,False,False,False,False,97.0,2.95,0
493065,Airdrie,Alberta,327 Canals Crossing Southwest,51.280950109218,-114.02697856138,12,apartment,2000.0,2.0,2.0,882.0,False,False,False,False,97.0,2.27,0
570944,Airdrie,Alberta,604 8 Street Southwest,51.2873632,-114.024567,12,apartment,1800.0,2.0,1.0,882.0,False,False,False,False,97.0,2.04,0
559699,Airdrie,Alberta,1534 Bayside Avenue SW,51.2727522,-114.0360575,12,townhouse,2800.0,3.0,2.5,1726.0,False,False,True,True,97.0,1.62,0
566333,Airdrie,Alberta,61 Willow Green Southwest,51.2910811,-114.0512376,12,house,3000.0,4.0,2.5,2300.0,False,False,False,False,97.0,1.3,0
570380,Airdrie,Alberta,1191 Lanark Boulevard,51.2589463,-113.9768104,12,townhouse,2450.0,3.0,2.5,1300.0,False,False,True,True,97.0,1.88,0
569767,Airdrie,Alberta,AB-2,51.263381340333,-114.026004222412,12,basement,1250.0,1.0,1.0,882.0,False,False,False,False,97.0,1.42,0
528653,Airdrie,Alberta,113 Windstone Avenue Southwest,51.2592925,-114.0290917,12,townhouse,2300.0,2.0,2.5,1250.0,False,False,True,True,97.0,1.84,0
566757,Airdrie,Alberta,Cobblefield Mnr SW,51.263773692711,-114.040650415869,6,basement,3800.0,2.0,1.0,900.0,False,False,False,False,97.0,4.22,0
463838,Airdrie,Alberta,403 Mackenzie Way Southwest,51.2891518,-114.0230327,12,apartment,1950.0,2.0,1.0,677.0,False,False,False,False,97.0,2.88,0
567883,Airdrie,Alberta,S Point Gate SW,51.2529298,-114.011578,12,townhouse,2600.0,3.0,2.5,1515.0,False,False,False,False,97.0,1.72,0
566592,Airdrie,Alberta,673 Windrow Manor Southwest,51.2526265,-114.0360833,12,house,3000.0,3.0,2.5,2000.0,False,False,False,False,97.0,1.5,0
561775,Airdrie,Alberta,462 Bayview Manor Southwest,51.2831517,-114.0459165,3,apartment,700.0,1.0,1.0,1600.0,True,False,False,False,97.0,0.44,0
453882,Airdrie,Alberta,45 Gateway Drive,51.3044974,-114.0115628,12,apartment,1630.0,1.0,1.0,616.0,False,False,True,True,97.0,2.65,30
533341,Airdrie,Alberta,349 Hillcrest Road Southwest,51.2491537,-114.0171847,12,duplex,2550.0,3.0,2.5,1361.0,False,False,False,False,97.0,1.87,14
570056,Airdrie,Alberta,177 Baysprings Gardens Southwest,51.2777434,-114.0446346,12,house,4000.0,4.0,4.0,2328.0,False,False,True,True,97.0,1.72,14
417675,Airdrie,Alberta,215 Flett Dr NE,51.2987494,-114.0103409,6,house,2450.0,3.0,2.0,1500.0,False,False,False,False,97.0,1.63,14
554660,Airdrie,Alberta,6 Kingsview Road SE,51.2666342,-113.9934758,12,apartment,2048.0,2.0,1.0,870.0,False,False,True,True,97.0,2.35,60
572464,Airdrie,Alberta,1309 Windstone Road Southwest,51.2598366,-114.0281494,12,townhouse,2200.0,3.0,2.5,1350.0,False,False,False,False,97.0,1.63,30
572256,Airdrie,Alberta,1846 Baywater Street Southwest,51.2744148,-114.0355933,12,house,3000.0,4.0,3.0,882.0,False,False,False,False,97.0,3.4,30
572461,Airdrie,Alberta,Windsong Blvd SW,51.2561616,-114.0321096,12,townhouse,2350.0,2.0,1.5,1038.0,False,False,True,True,97.0,2.26,30
528636,Airdrie,Alberta,317 windbury road sw airdrie,51.2496146,-114.030942,12,townhouse,2400.0,3.0,2.5,1500.0,False,False,True,True,97.0,1.6,30
571918,Airdrie,Alberta,800 Yankee Valley Boulevard Southeast,51.2712276,-113.9940381,12,townhouse,2500.0,3.0,2.5,882.0,False,False,True,True,97.0,2.83,30
