rentfaster_id,city,province,address,latitude,longitude,type,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,lease_term_months,availability_days
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,townhouse,2495.0,2.0,2.5,1403.0,0,0,1,1,12,0
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,apartment,2390.0,0.0,1.0,361.0,0,0,1,1,6,0
565052,Airdrie,Alberta,70 Elk Hill Southeast,51.2852509,-114.0101276,house,1700.0,2.0,1.0,997.0,0,0,0,0,12,0
568480,Airdrie,Alberta,Cobblefield Mnr SW,51.2631292,-114.0411654,basement,1500.0,2.0,1.0,900.0,0,0,0,0,12,0
571970,Airdrie,Alberta,629 Hillcrest Road Southwest,51.2519353,-114.0137782,townhouse,2300.0,3.0,2.5,1600.0,0,0,1,1,12,0
111264,Airdrie,Alberta,100 Chinook Winds Pl SW,51.270215,-114.031145,apartment,2000.0,1.0,1.0,602.0,0,0,0,0,12,0
565874,Airdrie,Alberta,140 Sagewood Boulevard Southwest,51.291531,-114.0420409,townhouse,2300.0,3.0,1.5,1086.0,0,0,1,1,3,0
518913,Airdrie,Alberta,502 Windbury Place,51.2496714,-114.0309421,townhouse,2099.0,2.0,2.5,1265.0,0,0,1,1,12,0
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,apartment,1680.0,1.0,1.0,667.0,0,0,1,1,12,0
564482,Airdrie,Alberta,1930 Luxstone Park Southwest,51.2746543,-114.0191365,house,3500.0,5.0,3.5,2700.0,0,0,0,1,12,0
565356,Airdrie,Alberta,Windbury Pl SW,51.2496146,-114.030942,townhouse,2400.0,3.0,2.5,1341.0,0,0,0,0,12,0
566068,Airdrie,Alberta,SouthPoint Heath SW,51.251492859256,-114.012470104229,townhouse,2400.0,2.0,2.5,1470.0,0,0,1,0,12,0
563675,Airdrie,Alberta,171 Baneberry Way SW,51.2920342,-114.0502138,house,2800.0,3.0,2.5,2100.0,0,0,0,0,12,0
564285,Airdrie,Alberta,212 Bayview Street,51.2770614,-114.043381,basement,1550.0,2.0,1.0,900.0,1,0,0,0,12,0
563680,Airdrie,Alberta,49 Willow Green SW,51.2910811,-114.0512376,house,2800.0,3.0,2.5,2100.0,0,0,0,0,12,0
547613,Airdrie,Alberta,491 Canals Crossing Southwest,51.281783797677,-114.026080490738,townhouse,2400.0,3.0,2.5,1400.0,0,0,0,0,12,0
571533,Airdrie,Alberta,260 Langwell Common SE,51.261387745429,-113.977984683331,house,2600.0,3.0,2.5,1608.0,0,0,0,0,12,0
550535,Airdrie,Alberta,20 Kingsland Close SE,51.2660887,-113.9901988,apartment,1737.0,2.0,1.0,792.0,0,0,1,1,12,0
559699,Airdrie,Alberta,1534 Bayside Avenue SW,51.2727522,-114.0360575,townhouse,2800.0,3.0,2.5,1726.0,0,0,1,1,12,0
566333,Airdrie,Alberta,61 Willow Green Southwest,51.2910811,-114.0512376,house,3000.0,4.0,2.5,2300.0,0,0,0,0,12,0
